CustomerID,recency,frequency,monetary,r_cat,f_cat,m_cat
12346.0,325,1.0,77183.6,1,1,5
12747.0,2,103.0,4196.009999999999,5,4,5
12748.0,0,4596.0,33719.73,5,5,5
12749.0,3,199.0,4090.88,5,5,5
12820.0,3,59.0,942.34,5,4,4
12821.0,214,6.0,92.72,1,1,1
12822.0,70,46.0,948.8800000000002,3,3,4
12823.0,74,5.0,1759.5,2,1,4
12824.0,59,25.0,397.11999999999995,3,2,2
12826.0,2,91.0,1474.72,5,4,4
12827.0,5,25.0,430.15,5,2,2
12828.0,2,56.0,1018.71,5,3,4
12829.0,336,11.0,293.0,1,1,2
12830.0,37,38.0,6814.640000000001,3,3,5
12831.0,262,9.0,215.05,1,1,1
12832.0,32,27.0,383.03000000000003,4,2,2
12833.0,145,24.0,417.38,2,2,2
12834.0,282,18.0,312.38,1,2,2
12836.0,59,175.0,2612.8599999999997,3,5,5
12837.0,173,12.0,134.1,2,1,1
12838.0,33,123.0,683.13,3,5,3
12839.0,2,314.0,5591.42,5,5,5
12840.0,143,113.0,2726.77,2,4,5
12841.0,4,420.0,4022.35,5,5,5
12842.0,70,34.0,1118.99,3,3,4
12843.0,65,103.0,1702.2600000000002,3,4,4
12844.0,29,52.0,325.96,4,3,2
12845.0,267,27.0,354.09,1,2,2
12847.0,22,91.0,871.5399999999998,4,4,3
12849.0,31,51.0,1050.8899999999999,4,3,4
12851.0,96,50.0,135.18,2,3,1
12852.0,294,17.0,311.55,1,2,2
12853.0,134,78.0,1957.1000000000004,2,4,4
12854.0,78,110.0,1324.5000000000002,2,4,4
12855.0,372,3.0,38.1,1,1,1
12856.0,7,314.0,2179.93,5,5,5
12857.0,210,46.0,1106.4,1,3,4
12863.0,52,5.0,521.2,3,1,3
12864.0,138,3.0,147.12,2,1,1
12867.0,26,538.0,4036.82,4,5,5
12868.0,185,107.0,1607.0600000000002,1,4,4
12871.0,84,11.0,380.64000000000004,2,1,2
12872.0,326,66.0,599.9700000000001,1,4,3
12873.0,282,4.0,374.0,1,1,2
12875.0,143,2.0,343.2300000000001,2,1,2
12877.0,3,154.0,1535.7700000000002,5,5,4
12878.0,236,47.0,854.99,1,3,3
12879.0,44,10.0,573.22,3,1,3
12881.0,275,7.0,298.0,1,1,2
12882.0,9,13.0,1463.0399999999997,5,1,4
12883.0,24,42.0,703.47,4,3,3
12884.0,88,7.0,309.05000000000007,2,1,2
12885.0,63,71.0,1175.2199999999998,3,4,4
12886.0,67,82.0,1378.3999999999999,3,4,4
12888.0,214,5.0,354.12,1,1,2
12890.0,24,82.0,380.47,4,4,2
12891.0,185,3.0,331.0,1,1,2
12893.0,30,34.0,188.14000000000001,4,3,1
12895.0,42,22.0,372.8,3,2,2
12897.0,204,4.0,216.5,1,1,1
12901.0,8,116.0,17654.539999999997,5,4,5
12902.0,264,10.0,138.67999999999998,1,1,1
12904.0,18,72.0,509.58,4,4,3
12906.0,11,63.0,2919.81,5,4,5
12908.0,176,2.0,750.0,2,1,3
12909.0,39,91.0,2178.67,3,4,5
12910.0,23,75.0,3075.0400000000004,4,4,5
12912.0,2,24.0,1662.3,5,2,4
12913.0,4,50.0,2483.6299999999997,5,3,5
12915.0,148,22.0,363.65,2,2,2
12916.0,138,107.0,3006.1499999999996,2,4,5
12917.0,128,2.0,594.0,2,1,3
12919.0,8,50.0,1335.19,5,3,4
12920.0,17,28.0,164.23000000000002,4,2,1
12921.0,9,720.0,16587.09,5,5,5
12922.0,161,28.0,405.38,2,2,2
12923.0,64,29.0,176.97,3,2,1
12924.0,88,30.0,933.7000000000002,2,3,4
12925.0,4,45.0,694.05,5,3,3
12928.0,35,84.0,2062.7,3,4,5
12929.0,311,8.0,117.85,1,1,1
12930.0,78,25.0,415.8,2,2,2
12931.0,21,82.0,42055.96,4,4,5
12933.0,24,106.0,607.53,4,4,3
12935.0,2,129.0,2160.7,5,5,5
12936.0,17,62.0,1063.8999999999999,4,4,4
12937.0,15,120.0,1504.2700000000002,4,4,4
12938.0,25,9.0,114.13999999999999,4,1,1
12939.0,64,47.0,11581.800000000001,3,3,5
12940.0,54,99.0,913.54,3,4,4
12942.0,131,75.0,683.9000000000001,2,4,3
12944.0,35,30.0,604.5099999999999,3,3,3
12945.0,288,23.0,462.95000000000005,1,2,2
12947.0,143,97.0,1603.99,2,4,4
12948.0,16,116.0,2064.95,4,4,5
12949.0,30,215.0,4167.22,4,5,5
12950.0,2,23.0,1843.0,5,2,4
12951.0,8,63.0,1064.07,5,4,4
12952.0,5,79.0,1387.79,5,4,4
12953.0,9,17.0,329.85,5,2,2
12955.0,1,180.0,4757.160000000001,5,5,5
12956.0,306,19.0,108.07,1,2,1
12957.0,9,238.0,4017.54,5,5,5
12962.0,7,16.0,266.39,5,2,2
12963.0,8,95.0,1856.63,5,4,4
12965.0,89,109.0,771.91,2,4,3
12966.0,9,10.0,160.18,5,1,1
12967.0,358,19.0,1660.9,1,2,4
12968.0,112,5.0,135.95,2,1,1
12970.0,7,151.0,452.24000000000007,5,5,2
12971.0,3,305.0,11189.91,5,5,5
12974.0,197,8.0,144.8,1,1,1
12976.0,211,22.0,738.6,1,2,3
12977.0,156,9.0,39.24,2,1,1
12980.0,157,20.0,7374.9,2,2,5
12981.0,29,20.0,372.2199999999999,4,2,2
12982.0,242,28.0,390.53999999999996,1,2,2
12984.0,18,4.0,97.5,4,1,1
12985.0,0,76.0,1239.3799999999999,5,4,4
12987.0,73,28.0,558.7,2,2,3
12988.0,292,92.0,535.3200000000002,1,4,3
12989.0,3,64.0,6924.110000000001,5,4,5
12990.0,31,13.0,409.5000000000001,4,1,2
12991.0,23,31.0,503.76000000000005,4,3,3
12993.0,23,27.0,414.75999999999993,4,2,2
12994.0,4,61.0,974.42,5,4,4
12995.0,85,3.0,211.32,2,1,1
12997.0,22,59.0,1226.89,4,4,4
12999.0,196,28.0,455.88,1,2,2
13000.0,106,31.0,534.8500000000001,2,3,3
13001.0,4,339.0,9818.82,5,5,5
13002.0,318,7.0,120.94999999999999,1,1,1
13003.0,105,6.0,149.05,2,1,1
13004.0,11,404.0,5655.91,5,5,5
13005.0,173,26.0,513.6999999999999,2,2,3
13006.0,56,4.0,81.57,3,1,1
13008.0,323,14.0,229.47000000000003,1,2,1
13011.0,372,3.0,50.550000000000004,1,1,1
13012.0,9,89.0,1661.8400000000001,5,4,4
13013.0,1,219.0,4810.94,5,5,5
13014.0,10,110.0,3466.2799999999997,5,4,5
13015.0,53,176.0,3346.2799999999997,3,5,5
13016.0,73,47.0,789.8899999999999,2,3,3
13017.0,7,1.0,204.0,5,1,1
13018.0,16,458.0,7277.700000000001,4,5,5
13021.0,4,131.0,2616.38,5,5,5
13023.0,64,40.0,689.9000000000001,3,3,3
13026.0,1,40.0,975.36,5,3,4
13027.0,113,26.0,6912.0,2,2,5
13028.0,22,45.0,661.3200000000002,4,3,3
13029.0,30,10.0,1247.5,4,1,4
13030.0,11,99.0,799.4800000000001,5,4,3
13032.0,52,71.0,1010.1800000000002,3,4,4
13033.0,357,11.0,190.54999999999998,1,1,1
13034.0,54,37.0,642.7700000000001,3,3,3
13035.0,73,27.0,921.88,2,2,4
13037.0,138,48.0,881.07,2,3,3
13038.0,80,28.0,908.46,2,2,4
13040.0,8,43.0,676.99,5,3,3
13043.0,273,13.0,516.4200000000001,1,1,3
13044.0,291,33.0,560.47,1,3,3
13045.0,99,18.0,305.28,2,2,2
13046.0,30,35.0,629.31,4,3,3
13047.0,31,172.0,3237.54,4,5,5
13048.0,14,136.0,1835.9099999999999,4,5,4
13049.0,64,14.0,656.6800000000002,3,2,3
13050.0,14,403.0,5836.860000000001,4,5,5
13052.0,212,18.0,348.15000000000003,1,2,2
13055.0,78,76.0,1214.41,2,4,4
13058.0,24,8.0,271.4,4,1,2
13059.0,249,8.0,183.4,1,1,1
13060.0,253,15.0,307.53000000000003,1,2,2
13061.0,72,10.0,248.61,2,1,2
13062.0,191,11.0,346.98,1,1,2
13064.0,12,69.0,1119.4900000000002,5,4,4
13065.0,373,14.0,205.85999999999999,1,2,1
13066.0,24,48.0,470.79999999999995,4,3,3
13067.0,82,15.0,115.46000000000001,2,2,1
13068.0,10,2.0,344.0,5,1,2
13069.0,0,425.0,4436.12,5,5,5
13070.0,192,9.0,228.8,1,1,1
13072.0,266,7.0,177.14999999999998,1,1,1
13075.0,129,22.0,919.6100000000001,2,2,4
13077.0,1,112.0,729.2700000000001,5,4,3
13078.0,3,358.0,12627.939999999999,5,5,5
13079.0,4,6.0,220.09999999999997,5,1,1
13080.0,179,6.0,58.08,1,1,1
13081.0,11,1028.0,28337.379999999997,5,5,5
13082.0,126,73.0,3613.6299999999997,2,4,5
13083.0,4,18.0,303.75,5,2,2
13085.0,157,22.0,416.08000000000004,2,2,2
13089.0,2,1818.0,58825.83,5,5,5
13090.0,8,155.0,8910.819999999998,5,5,5
13091.0,28,21.0,345.82000000000005,4,2,2
13092.0,70,25.0,477.83000000000004,3,2,3
13093.0,275,159.0,7832.470000000001,1,5,5
13094.0,21,24.0,1927.3200000000002,4,2,4
13095.0,70,6.0,74.4,3,1,1
13097.0,32,423.0,6010.419999999999,4,5,5
13098.0,1,572.0,28882.44,5,5,5
13099.0,99,1.0,207.35999999999999,2,1,1
13101.0,234,8.0,101.19,1,1,1
13102.0,1,304.0,6424.089999999999,5,5,5
13103.0,39,8.0,243.94,3,1,2
13104.0,3,20.0,1098.48,5,2,4
13106.0,133,1.0,76.5,2,1,1
13107.0,44,58.0,1531.6200000000003,3,3,4
13108.0,372,10.0,350.05999999999995,1,1,2
13109.0,59,47.0,786.54,3,3,3
13110.0,31,145.0,1488.67,4,5,4
13113.0,0,201.0,12245.96,5,5,5
13115.0,11,120.0,2294.7799999999997,5,4,5
13116.0,138,30.0,501.14,2,3,3
13117.0,21,76.0,984.9100000000001,4,4,4
13118.0,19,79.0,1197.81,4,4,4
13120.0,238,1.0,30.599999999999998,1,1,1
13121.0,269,50.0,283.72999999999996,1,3,2
13122.0,94,55.0,922.39,2,3,4
13124.0,89,235.0,3866.33,2,5,5
13126.0,4,140.0,2099.64,5,5,5
13127.0,77,15.0,259.16999999999996,2,2,2
13130.0,94,2.0,64.0,2,1,1
13131.0,23,44.0,1073.2999999999997,4,3,4
13132.0,261,3.0,77.3,1,1,1
13133.0,273,7.0,109.80000000000001,1,1,1
13134.0,85,98.0,1793.5800000000002,2,4,4
13135.0,196,1.0,3096.0,1,1,5
13136.0,56,127.0,2607.6099999999997,3,5,5
13137.0,10,704.0,3650.41,5,5,5
13138.0,22,63.0,962.39,4,4,4
13139.0,16,170.0,5064.9400000000005,4,5,5
13140.0,108,46.0,423.72,2,3,2
13141.0,84,135.0,2388.75,2,5,5
13142.0,19,23.0,307.0899999999999,4,2,2
13144.0,332,3.0,110.94999999999999,1,1,1
13145.0,39,6.0,618.52,3,1,3
13146.0,26,17.0,228.91,4,2,1
13147.0,10,4.0,712.8000000000001,5,1,3
13148.0,29,319.0,3707.12,4,5,5
13149.0,14,86.0,1676.0600000000002,4,4,4
13151.0,295,74.0,1257.8700000000003,1,4,4
13153.0,5,15.0,486.22,5,2,3
13155.0,33,85.0,971.7600000000002,3,4,4
13157.0,49,87.0,1741.2199999999998,3,4,4
13158.0,94,79.0,1201.06,2,4,4
13159.0,8,121.0,1437.85,5,5,4
13160.0,22,4.0,91.8,4,1,1
13161.0,313,8.0,112.75,1,1,1
13162.0,122,79.0,1688.2899999999997,2,4,4
13165.0,46,42.0,1021.48,3,3,4
13166.0,283,41.0,417.20000000000005,1,3,2
13167.0,18,65.0,791.3299999999999,4,4,3
13168.0,36,131.0,1319.19,3,5,4
13169.0,63,13.0,712.88,3,1,3
13170.0,26,32.0,116.00999999999999,4,3,1
13171.0,21,46.0,468.40999999999997,4,3,3
13173.0,4,43.0,353.65000000000003,5,3,2
13174.0,16,314.0,2817.0299999999997,4,5,5
13176.0,46,72.0,492.84000000000003,3,4,3
13177.0,64,17.0,282.45,3,2,2
13178.0,26,265.0,5725.469999999999,4,5,5
13182.0,45,11.0,121.18,3,1,1
13183.0,7,94.0,3957.7800000000007,5,4,5
13184.0,14,181.0,1701.29,4,5,4
13185.0,267,1.0,71.4,1,1,1
13186.0,39,79.0,1575.89,3,4,4
13187.0,337,37.0,236.01999999999998,1,3,1
13188.0,11,2.0,114.60000000000001,5,1,1
13189.0,18,29.0,260.67999999999995,4,2,2
13192.0,95,63.0,911.9400000000002,2,4,4
13193.0,61,29.0,117.88000000000001,3,2,1
13194.0,135,3.0,60.7,2,1,1
13196.0,11,110.0,1797.78,5,4,4
13198.0,10,226.0,3401.24,5,5,5
13199.0,3,119.0,9817.119999999999,5,4,5
13200.0,19,46.0,870.0900000000001,4,3,3
13203.0,9,57.0,869.4599999999999,5,3,3
13207.0,15,8.0,250.26000000000002,4,1,2
13208.0,58,149.0,1223.9,3,5,4
13209.0,30,321.0,5891.61,4,5,5
13210.0,93,22.0,353.48,2,2,2
13211.0,10,56.0,1197.42,5,3,4
13212.0,19,142.0,788.0799999999999,4,5,3
13213.0,56,90.0,1520.58,3,4,4
13216.0,267,5.0,333.74,1,1,2
13217.0,122,4.0,533.98,2,1,3
13218.0,127,5.0,62.64,2,1,1
13220.0,78,21.0,819.29,2,2,3
13221.0,240,66.0,847.4100000000001,1,4,3
13223.0,200,5.0,163.20000000000002,1,1,1
13224.0,60,108.0,2155.9499999999994,3,4,5
13225.0,3,32.0,6463.84,5,3,5
13226.0,273,16.0,108.21,1,2,1
13227.0,201,9.0,257.7,1,1,2
13228.0,81,2.0,358.0,2,1,2
13229.0,225,10.0,160.95,1,1,1
13230.0,4,611.0,2806.9700000000003,5,5,5
13232.0,12,207.0,1357.6000000000001,5,5,4
13233.0,74,43.0,605.1199999999999,2,3,3
13235.0,212,58.0,1031.0700000000002,1,3,4
13236.0,24,36.0,744.85,4,3,3
13238.0,17,31.0,700.7299999999999,4,3,3
13239.0,261,22.0,329.56,1,2,2
13240.0,96,67.0,663.6500000000001,2,4,3
13242.0,112,13.0,270.40000000000003,2,1,2
13243.0,203,58.0,600.0700000000002,1,3,3
13244.0,92,27.0,121.74,2,2,1
13245.0,50,16.0,430.5,3,2,2
13246.0,18,141.0,1987.3,4,5,5
13247.0,17,25.0,501.11999999999995,4,2,3
13248.0,124,26.0,465.67999999999995,2,2,3
13249.0,92,23.0,711.41,2,2,3
13253.0,156,36.0,1030.3999999999999,2,3,4
13255.0,9,13.0,399.51,5,1,2
13256.0,14,1.0,0.0,4,1,1
13258.0,11,38.0,698.5799999999999,5,3,3
13259.0,61,87.0,292.31999999999994,3,4,2
13260.0,61,8.0,557.62,3,1,3
13261.0,268,9.0,944.1,1,1,4
13262.0,263,11.0,200.29,1,1,1
13263.0,1,1677.0,7454.07,5,5,5
13265.0,53,91.0,2107.6600000000003,3,4,5
13266.0,11,187.0,3834.26,5,5,5
13267.0,2,211.0,4521.49,5,5,5
13268.0,17,440.0,3214.69,4,5,5
13269.0,1,316.0,5346.23,5,5,5
13270.0,366,1.0,590.0,1,1,3
13271.0,37,96.0,217.38,3,4,1
13272.0,31,15.0,276.56000000000006,4,2,2
13273.0,113,16.0,138.98,2,2,1
13276.0,63,30.0,590.93,3,3,3
13277.0,15,8.0,258.4,4,1,2
13278.0,40,46.0,542.73,3,3,3
13279.0,78,9.0,137.75,2,1,1
13280.0,122,85.0,814.86,2,4,3
13282.0,18,37.0,1132.14,4,3,4
13283.0,59,7.0,93.66,3,1,1
13284.0,330,13.0,201.19,1,1,1
13285.0,23,187.0,2709.1200000000003,4,5,5
13291.0,155,42.0,361.11,2,3,2
13292.0,38,31.0,578.9399999999999,3,3,3
13294.0,189,54.0,873.74,1,3,3
13295.0,359,10.0,201.2,1,1,1
13296.0,137,5.0,87.4,2,1,1
13297.0,7,59.0,2089.85,5,4,5
13298.0,1,2.0,360.0,5,1,2
13299.0,268,5.0,142.5,1,1,1
13300.0,169,20.0,371.89,2,2,2
13301.0,103,81.0,618.09,2,4,3
13302.0,155,1.0,63.75,2,1,1
13304.0,351,21.0,300.41999999999996,1,2,2
13305.0,4,81.0,2000.8599999999997,5,4,5
13307.0,120,1.0,15.0,2,1,1
13308.0,22,54.0,1385.51,4,3,4
13309.0,7,107.0,1456.79,5,4,4
13310.0,28,72.0,1132.0300000000002,4,4,4
13311.0,4,26.0,598.57,5,2,3
13313.0,22,78.0,1555.32,4,4,4
13314.0,1,62.0,775.94,5,4,3
13316.0,37,87.0,5977.7300000000005,3,4,5
13317.0,66,124.0,2273.6800000000003,3,5,5
13318.0,1,20.0,640.7600000000001,5,2,3
13319.0,5,476.0,10845.55,5,5,5
13320.0,78,106.0,1548.6999999999998,2,4,4
13321.0,72,11.0,567.36,2,1,3
13322.0,17,25.0,199.48,4,2,1
13323.0,3,21.0,787.8499999999999,5,2,3
13324.0,36,75.0,7121.95,3,4,5
13325.0,81,12.0,675.3,2,1,3
13327.0,38,108.0,3627.77,3,4,5
13328.0,316,17.0,1308.48,1,2,4
13329.0,31,17.0,789.0,4,2,3
13330.0,92,53.0,1140.93,2,3,4
13332.0,14,21.0,350.9,4,2,2
13334.0,82,268.0,3536.8200000000006,2,5,5
13336.0,77,51.0,795.1200000000001,2,3,3
13338.0,157,19.0,487.02000000000004,2,2,3
13339.0,200,54.0,860.12,1,3,3
13340.0,45,134.0,10736.48,3,5,5
13341.0,260,42.0,775.8499999999999,1,3,3
13343.0,177,19.0,353.43,2,2,2
13344.0,67,119.0,2543.7200000000007,3,4,5
13345.0,287,20.0,389.5,1,2,2
13347.0,70,8.0,341.36,3,1,2
13348.0,64,14.0,233.76,3,2,1
13349.0,10,16.0,247.32,5,2,2
13350.0,16,40.0,979.12,4,3,4
13351.0,66,16.0,373.94,3,2,2
13352.0,60,24.0,397.97999999999996,3,2,2
13354.0,71,51.0,743.5300000000001,3,3,3
13355.0,122,32.0,674.7,2,3,3
13356.0,80,42.0,768.2400000000001,2,3,3
13357.0,257,90.0,609.95,1,4,3
13358.0,268,29.0,439.03000000000003,1,2,2
13359.0,63,23.0,439.55999999999995,3,2,2
13362.0,9,166.0,3090.7400000000002,5,5,5
13363.0,17,60.0,992.5,4,4,4
13364.0,71,10.0,134.96,3,1,1
13365.0,33,128.0,2225.37,3,5,5
13366.0,50,1.0,56.160000000000004,3,1,1
13368.0,256,29.0,623.4,1,2,3
13369.0,365,14.0,308.28,1,2,2
13370.0,371,39.0,754.8700000000001,1,3,3
13372.0,89,23.0,378.63999999999993,2,2,2
13373.0,60,158.0,3312.2500000000005,3,5,5
13375.0,88,37.0,778.65,2,3,3
13376.0,99,53.0,1019.76,2,3,4
13379.0,26,97.0,572.56,4,4,3
13381.0,31,172.0,3639.31,4,5,5
13382.0,280,15.0,222.99,1,2,1
13384.0,30,152.0,4151.93,4,5,5
13385.0,329,35.0,534.5699999999999,1,3,3
